"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18","state_fips_code","county_fips_code"
"397","AL","Shelby",7.8,20.3,29.7,42.1,29,205
"398","AL","Shelby",7.8,20.3,29.7,42.1,39,149
"399","AL","Shelby",7.8,20.3,29.7,42.1,47,157
"400","AL","Shelby",7.8,20.3,29.7,42.1,48,419
"401","AL","Sumter",15.8,37.8,24.6,21.8,1,119
"402","AL","Sumter",15.8,37.8,24.6,21.8,12,119
"403","AL","Sumter",15.8,37.8,24.6,21.8,13,261
"404","AL","Sumter",15.8,37.8,24.6,21.8,45,85
"405","AL","Talladega",19,34.9,31.8,14.3,1,121
"406","AL","Tallapoosa",19.5,32.9,29.2,18.3,1,123
"407","AL","Tuscaloosa",11.6,29.9,28.3,30.3,1,125
"408","AL","Walker",19.1,37.1,32.2,11.6,1,127
"409","AL","Walker",19.1,37.1,32.2,11.6,13,295
"410","AL","Walker",19.1,37.1,32.2,11.6,48,471
"411","AL","Washington",19.6,43.2,26.1,11.1,1,129
"412","AL","Washington",19.6,43.2,26.1,11.1,5,143
"413","AL","Washington",19.6,43.2,26.1,11.1,8,121
"414","AL","Washington",19.6,43.2,26.1,11.1,12,133
"415","AL","Washington",19.6,43.2,26.1,11.1,13,303
"416","AL","Washington",19.6,43.2,26.1,11.1,16,87
"417","AL","Washington",19.6,43.2,26.1,11.1,17,189
"418","AL","Washington",19.6,43.2,26.1,11.1,18,175
"419","AL","Washington",19.6,43.2,26.1,11.1,19,183
"420","AL","Washington",19.6,43.2,26.1,11.1,20,201
"421","AL","Washington",19.6,43.2,26.1,11.1,21,229
"422","AL","Washington",19.6,43.2,26.1,11.1,22,117
"423","AL","Washington",19.6,43.2,26.1,11.1,23,29
"424","AL","Washington",19.6,43.2,26.1,11.1,24,43
"425","AL","Washington",19.6,43.2,26.1,11.1,27,163
"426","AL","Washington",19.6,43.2,26.1,11.1,28,151
"427","AL","Washington",19.6,43.2,26.1,11.1,29,221
"428","AL","Washington",19.6,43.2,26.1,11.1,31,177
"429","AL","Washington",19.6,43.2,26.1,11.1,36,115
"430","AL","Washington",19.6,43.2,26.1,11.1,37,187
"431","AL","Washington",19.6,43.2,26.1,11.1,39,167
"432","AL","Washington",19.6,43.2,26.1,11.1,40,147
"433","AL","Washington",19.6,43.2,26.1,11.1,41,67
"434","AL","Washington",19.6,43.2,26.1,11.1,42,125
"435","AL","Washington",19.6,43.2,26.1,11.1,44,9
