"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18"
"1978","NC","Hertford County",20.8,31.7,32.8,14.6
"1979","NC","Hoke County",14,27.8,39.8,18.4
"1980","NC","Hyde County",18.4,41.5,30.7,9.4
"1981","NC","Iredell County",11,28.1,33.4,27.5
"1982","NC","Jackson County",11.6,26.7,31.2,30.5
"1983","NC","Johnston County",13.7,29.3,35.1,21.8
"1984","NC","Jones County",18.4,30.4,38.1,13.1
"1985","NC","Lee County",16.6,27.2,35.3,20.9
"1986","NC","Lenoir County",19.6,32.1,33.7,14.5
"1987","NC","Lincoln County",14.4,31.1,33.1,21.4
"1988","NC","McDowell County",16.2,33.5,33.4,16.9
"1989","NC","Macon County",11.4,30.6,33.9,24.2
"1990","NC","Madison County",14.6,30.7,27.1,27.6
"1991","NC","Martin County",16.7,34.5,32,16.8
"1992","NC","Mecklenburg County",9.9,17.4,27.9,44.8
"1993","NC","Mitchell County",15.5,33.6,32.1,18.8
"1994","NC","Montgomery County",20.7,34.9,29.7,14.7
"1995","NC","Moore County",9.6,22,31.5,36.9
"1996","NC","Nash County",14.6,33.6,30.9,20.9
"1997","NC","New Hanover County",7.1,21.6,32.1,39.3
"1998","NC","Northampton County",20.5,39.7,27,12.8
"1999","NC","Onslow County",8.8,29.2,40.7,21.4
"2000","NC","Orange County",7.3,14.8,20.3,57.6
"2001","NC","Pamlico County",12,30.3,38.3,19.4
"2002","NC","Pasquotank County",13.5,31.6,34.4,20.5
"2003","NC","Pender County",12.5,29,32.1,26.4
"2004","NC","Perquimans County",13.5,30.8,35.4,20.4
"2005","NC","Person County",13.7,36.2,34.8,15.3
"2006","NC","Pitt County",10.6,23.6,34,31.8
"2007","NC","Polk County",9.1,26,33.2,31.7
"2008","NC","Randolph County",18.6,33.8,31.8,15.8
"2009","NC","Richmond County",19.7,34.9,31.4,13.9
"2010","NC","Robeson County",22.9,34,29.9,13.2
"2011","NC","Rockingham County",17.4,34.5,33.1,15
"2012","NC","Rowan County",14.7,32.8,33.7,18.7
"2013","NC","Rutherford County",17.4,31.9,33.4,17.3
"2014","NC","Sampson County",22.3,33.3,31.6,12.8
"2015","NC","Scotland County",20.2,34.1,30.3,15.5
"2016","NC","Stanly County",14.9,34.7,34.6,15.8
"2017","NC","Stokes County",16.5,41.1,29.1,13.3
"2018","NC","Surry County",21.7,29.3,32.3,16.8
"2019","NC","Swain County",21.7,31.1,31.2,16
"2020","NC","Transylvania County",11.4,27,30.1,31.5
"2021","NC","Tyrrell County",24.5,39.3,26.5,9.7
"2022","NC","Union County",10.2,25,30,34.8
"2023","NC","Vance County",20,37,30,12.9
"2024","NC","Wake County",7.3,15.4,25.5,51.8
"2025","NC","Warren County",19.5,34.1,30.9,15.5
"2026","NC","Washington County",20.1,35.8,32.9,11.3
"2027","NC","Watauga County",10.5,20.3,27.6,41.6
"2028","NC","Wayne County",15.9,30.5,34,19.5
"2029","NC","Wilkes County",21.4,31.5,31.6,15.5
"2030","NC","Wilson County",19.7,31.9,28.8,19.6
"2031","NC","Yadkin County",19,34.7,35.1,11.3
"2032","NC","Yancey County",15.8,32.6,31.6,20
"2033","ND","North Dakota",7.5,26.8,36.3,29.5
"2034","ND","Adams County",4.5,33.6,33.3,28.6
"2035","ND","Barnes County",8.6,28.2,36,27.2
"2036","ND","Benson County",15.5,29.8,39,15.6
"2037","ND","Billings County",11.2,32,30.5,26.3
"2038","ND","Bottineau County",8.8,29.2,38.3,23.7
"2039","ND","Bowman County",9.8,30.7,35.3,24.3
"2040","ND","Burke County",6.9,29.5,41.3,22.3
"2041","ND","Burleigh County",6,23.3,35.6,35.1
"2042","ND","Cass County",5.5,19.7,35.4,39.4
"2043","ND","Cavalier County",8.5,29.9,40.5,21.2
"2044","ND","Dickey County",9.9,28.2,35.2,26.7
"2045","ND","Divide County",5.8,36.7,39,18.4
"2046","ND","Dunn County",9.9,35,34.2,21
"2047","ND","Eddy County",10,31,34.7,24.3
"2048","ND","Emmons County",12.9,36,34.6,16.5
"2049","ND","Foster County",7.8,28.3,39.8,24.1
"2050","ND","Golden Valley County",7.7,24.8,39.4,28.1
"2051","ND","Grand Forks County",5.1,23.2,37.1,34.5
"2052","ND","Grant County",8.8,37.3,36.4,17.4
"2053","ND","Griggs County",9.6,30.6,33.8,25.9
"2054","ND","Hettinger County",13.4,35.3,36.9,14.4
"2055","ND","Kidder County",10,34.9,37.2,17.9
"2056","ND","LaMoure County",15.9,27.7,32.4,24
